Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
9438	0.2950578	0.0525708	0.0659335	0.0727529	0.0825130	0.0709737	0.0698130	0.0686797	-255147.635
9440	0.3452035	0.0615053	0.0793125	0.0621846	0.0740299	0.0606638	0.0596717	0.0622400	-255149.207
9442	0.3452035	0.0615053	0.0793125	0.0621846	0.0721159	0.0554700	0.0628623	0.0565880	-255149.274
9444	0.3452035	0.0615053	0.0764784	0.0609680	0.0721159	0.0554700	0.0628623	0.0554006	-255150.060
9446	0.3135883	0.0558724	0.0744597	0.0671147	0.0793865	0.0655243	0.0663004	0.0609860	-255152.216
9448	0.2865808	0.0522038	0.0680469	0.0754459	0.0868679	0.0701897	0.0725486	0.0688524	-255150.524
9450	0.3131314	0.0578996	0.0715975	0.0690488	0.0795023	0.0642383	0.0675450	0.0679869	-255148.472
9452	0.3019822	0.0558381	0.0649973	0.0675537	0.0824375	0.0675960	0.0686281	0.0704970	-255150.224
9454	0.3478863	0.0658135	0.0803752	0.0633094	0.0690519	0.0549422	0.0609468	0.0580115	-255151.626
9456	0.3527510	0.0658135	0.0803497	0.0630687	0.0697117	0.0549422	0.0585212	0.0580115	-255149.231
9458	0.3171405	0.0575943	0.0703151	0.0694683	0.0777398	0.0627830	0.0668728	0.0681739	-255147.557
9460	0.3222455	0.0575943	0.0709616	0.0661492	0.0762912	0.0627830	0.0668728	0.0630203	-255146.524
9462	0.3362000	0.0618352	0.0741602	0.0645607	0.0710587	0.0568575	0.0622863	0.0628325	-255148.056
9464	0.3048829	0.0519999	0.0668999	0.0727274	0.0776398	0.0640497	0.0670618	0.0707805	-255150.826
9466	0.3094511	0.0553069	0.0664149	0.0700917	0.0782068	0.0645174	0.0662735	0.0637851	-255149.375
9468	0.3094511	0.0553069	0.0664149	0.0700917	0.0800197	0.0619266	0.0698403	0.0673416	-255146.845
9470	0.3608432	0.0644920	0.0774448	0.0586397	0.0686231	0.0544645	0.0582699	0.0577506	-255146.076
9472	0.3071468	0.0548951	0.0659204	0.0688913	0.0806200	0.0639862	0.0691638	0.0678468	-255146.095
9474	0.2805409	0.0482834	0.0610639	0.0754376	0.0871111	0.0690751	0.0749745	0.0732427	-255146.106
9476	0.3610158	0.0621338	0.0802530	0.0614125	0.0704531	0.0590243	0.0582618	0.0569160	-255147.537
9478	0.3004082	0.0517028	0.0667801	0.0738026	0.0846671	0.0709325	0.0716199	0.0683989	-255148.079
9480	0.3474352	0.0624406	0.0768753	0.0641109	0.0735487	0.0607590	0.0615799	0.0594168	-255148.341
9482	0.3474352	0.0624406	0.0762546	0.0641109	0.0704778	0.0566358	0.0602666	0.0594168	-255146.473
9484	0.3314183	0.0576652	0.0711847	0.0655265	0.0759317	0.0592684	0.0655388	0.0621787	-255146.558
9486	0.3417443	0.0620138	0.0748560	0.0623128	0.0722076	0.0563616	0.0623245	0.0591291	-255146.275
9488	0.3498412	0.0587396	0.0791790	0.0639353	0.0722076	0.0563616	0.0595339	0.0591291	-255147.343
9490	0.3377835	0.0572356	0.0764500	0.0633403	0.0719060	0.0583735	0.0616591	0.0612398	-255146.630
9492	0.3377835	0.0572356	0.0730961	0.0633403	0.0755864	0.0583735	0.0616591	0.0612398	-255146.417
9494	0.3377835	0.0572356	0.0764368	0.0633403	0.0740205	0.0583735	0.0637371	0.0591035	-255147.047
9496	0.3193924	0.0562185	0.0714130	0.0677962	0.0792277	0.0624800	0.0674834	0.0673018	-255146.711
9498	0.3578646	0.0620465	0.0807758	0.0596117	0.0716324	0.0532139	0.0594456	0.0593370	-255146.179
9500	0.3578646	0.0620465	0.0798195	0.0558876	0.0744041	0.0532139	0.0587804	0.0555001	-255152.067
9502	0.3607487	0.0620465	0.0798195	0.0588881	0.0730510	0.0532139	0.0587804	0.0555001	-255147.462
9504	0.3553056	0.0603326	0.0780401	0.0605609	0.0709085	0.0547255	0.0590103	0.0572714	-255145.707
9506	0.3482900	0.0603326	0.0780401	0.0605609	0.0741039	0.0547255	0.0610694	0.0594868	-255146.035
9508	0.3401866	0.0603326	0.0746512	0.0646247	0.0741039	0.0561679	0.0610694	0.0594868	-255146.032
9510	0.2928941	0.0519452	0.0669756	0.0750594	0.0804339	0.0648475	0.0748566	0.0690919	-255151.582
9512	0.3131172	0.0526236	0.0716000	0.0683852	0.0810244	0.0606593	0.0675427	0.0669815	-255146.850
9514	0.3168774	0.0538324	0.0683637	0.0683852	0.0810244	0.0606593	0.0686057	0.0669815	-255147.421
9516	0.3607204	0.0630826	0.0801108	0.0583575	0.0690990	0.0517645	0.0585457	0.0533599	-255148.589
9518	0.3607204	0.0630826	0.0758612	0.0577055	0.0679243	0.0562905	0.0585457	0.0584144	-255148.543
9520	0.2835507	0.0502623	0.0604439	0.0759034	0.0912172	0.0706484	0.0759923	0.0688249	-255149.147
9522	0.2775641	0.0502623	0.0604439	0.0759034	0.0927467	0.0706484	0.0759923	0.0743113	-255146.351
9524	0.3197081	0.0569683	0.0710789	0.0694543	0.0757113	0.0623320	0.0670468	0.0655637	-255147.139
9526	0.2767707	0.0493174	0.0615329	0.0785759	0.0918922	0.0682664	0.0774174	0.0757351	-255146.109
9528	0.3648111	0.0600047	0.0792619	0.0579763	0.0692350	0.0506153	0.0579035	0.0586444	-255149.206
9530	0.3648111	0.0675365	0.0792619	0.0568278	0.0692350	0.0538236	0.0579035	0.0586444	-255148.402
9532	0.3648111	0.0647194	0.0795446	0.0568278	0.0692350	0.0538236	0.0579035	0.0537640	-255147.617
9534	0.3166225	0.0548944	0.0674690	0.0669988	0.0792504	0.0634570	0.0682671	0.0694459	-255148.664
9536	0.3219598	0.0558197	0.0686063	0.0658882	0.0756783	0.0624050	0.0671354	0.0682947	-255149.399
9538	0.2508904	0.0448139	0.0570821	0.0886808	0.0981479	0.0777311	0.0836232	0.0850672	-255147.283
9540	0.3298067	0.0556078	0.0726826	0.0655965	0.0816725	0.0621245	0.0651508	0.0647123	-255150.011
9542	0.3267652	0.0529368	0.0726826	0.0655965	0.0822864	0.0599313	0.0632466	0.0647123	-255152.196
9544	0.3267652	0.0558077	0.0748782	0.0655965	0.0786313	0.0599313	0.0642688	0.0647123	-255146.639
9546	0.3267652	0.0558077	0.0748782	0.0647994	0.0767716	0.0599313	0.0642688	0.0647123	-255146.326
9548	0.3057385	0.0542255	0.0677358	0.0692558	0.0820514	0.0640530	0.0686888	0.0691628	-255145.260
9550	0.3057385	0.0542255	0.0711776	0.0692558	0.0785512	0.0640626	0.0686888	0.0691628	-255148.038
9552	0.3538694	0.0597147	0.0786498	0.0578955	0.0707846	0.0555807	0.0577535	0.0555268	-255150.728
9554	0.3470392	0.0627550	0.0771317	0.0590349	0.0753814	0.0594940	0.0605073	0.0594420	-255148.979
9556	0.2863028	0.0507073	0.0634410	0.0760149	0.0886134	0.0698096	0.0735576	0.0735649	-255145.300
9558	0.3387147	0.0599900	0.0750547	0.0642525	0.0749015	0.0590074	0.0621755	0.0621817	-255145.300
9560	0.3657273	0.0647743	0.0785673	0.0595068	0.0621747	0.0546491	0.0575832	0.0545391	-255153.044
9562	0.3415791	0.0593409	0.0719770	0.0638779	0.0702296	0.0596529	0.0628556	0.0595328	-255149.101
9564	0.2950104	0.0523636	0.0635139	0.0723894	0.0838813	0.0676015	0.0712309	0.0719111	-255146.024
9566	0.2902684	0.0498077	0.0650002	0.0723894	0.0838813	0.0676015	0.0733379	0.0719111	-255146.176
9568	0.3419880	0.0611867	0.0775314	0.0607062	0.0755841	0.0616136	0.0633689	0.0621359	-255150.511
9570	0.3419880	0.0584043	0.0725322	0.0607062	0.0755841	0.0582385	0.0617355	0.0590895	-255148.605
9572	0.2995706	0.0511603	0.0715863	0.0745179	0.0810717	0.0691555	0.0680715	0.0706953	-255153.709
9574	0.3320442	0.0592145	0.0745671	0.0627997	0.0731430	0.0623921	0.0642573	0.0637814	-255147.781
9576	0.3389674	0.0592145	0.0772701	0.0612126	0.0731430	0.0583639	0.0612664	0.0637814	-255147.638
9578	0.2879780	0.0503071	0.0656467	0.0746490	0.0879726	0.0686979	0.0721142	0.0687905	-255146.647
9580	0.3439434	0.0585841	0.0764475	0.0636124	0.0716818	0.0567073	0.0619257	0.0629255	-255146.716
9582	0.3420525	0.0616227	0.0784378	0.0627697	0.0741684	0.0539712	0.0611053	0.0620919	-255147.644
9584	0.3043568	0.0513350	0.0648707	0.0693448	0.0848222	0.0604681	0.0694259	0.0705469	-255149.258
9586	0.3043568	0.0513350	0.0684328	0.0678137	0.0819894	0.0660766	0.0691071	0.0696984	-255147.415
9588	0.3147306	0.0559944	0.0684328	0.0678137	0.0819894	0.0616200	0.0691071	0.0621020	-255149.028
9590	0.3147306	0.0559944	0.0712542	0.0678137	0.0827446	0.0616200	0.0691071	0.0621020	-255149.849
9592	0.3197152	0.0535147	0.0712542	0.0707271	0.0819644	0.0616200	0.0654794	0.0659944	-255148.914
9594	0.3197152	0.0535147	0.0712542	0.0677459	0.0776637	0.0616200	0.0686013	0.0659944	-255148.243
9596	0.3197152	0.0574836	0.0712542	0.0677459	0.0776637	0.0586437	0.0666720	0.0630380	-255146.304
9598	0.3209724	0.0581675	0.0712542	0.0677459	0.0776637	0.0586437	0.0646955	0.0630380	-255146.382
9600	0.3357598	0.0589501	0.0737309	0.0617165	0.0711494	0.0566738	0.0650280	0.0622607	-255149.511
9602	0.3212381	0.0557883	0.0660328	0.0650601	0.0751817	0.0634558	0.0680591	0.0635602	-255152.814
9604	0.2756422	0.0495884	0.0625141	0.0778429	0.0845816	0.0713896	0.0765685	0.0746907	-255148.697
9606	0.3274061	0.0569846	0.0685972	0.0665157	0.0778990	0.0621237	0.0666304	0.0649964	-255148.856
9608	0.3321491	0.0597301	0.0697022	0.0654612	0.0766641	0.0611388	0.0655741	0.0639660	-255149.265
9610	0.2938882	0.0541163	0.0648377	0.0739563	0.0877961	0.0674812	0.0702547	0.0706016	-255147.598
9612	0.3357262	0.0609981	0.0730830	0.0626080	0.0783440	0.0598679	0.0635195	0.0626363	-255148.281
9614	0.2914946	0.0493143	0.0634544	0.0742108	0.0865737	0.0630941	0.0723217	0.0721407	-255146.977
9616	0.2914946	0.0531238	0.0634544	0.0718156	0.0865737	0.0630941	0.0723217	0.0721407	-255147.561
9618	0.2978334	0.0506707	0.0666084	0.0718156	0.0865737	0.0589822	0.0723217	0.0721407	-255150.359
9620	0.3334298	0.0566635	0.0717079	0.0642202	0.0774175	0.0563023	0.0646728	0.0620586	-255147.433
9622	0.3334298	0.0582889	0.0717079	0.0661310	0.0770351	0.0618490	0.0618475	0.0620586	-255147.623
9624	0.3227790	0.0582889	0.0690617	0.0639770	0.0813030	0.0618490	0.0664981	0.0663000	-255149.794
9626	0.2894886	0.0535213	0.0627585	0.0742908	0.0852678	0.0687833	0.0741650	0.0722060	-255147.671
9628	0.2869057	0.0535213	0.0627585	0.0771277	0.0819999	0.0687833	0.0753002	0.0722060	-255151.525
9630	0.3839356	0.0667703	0.0814282	0.0537923	0.0651527	0.0545544	0.0539735	0.0526855	-255149.804
9632	0.3609848	0.0660239	0.0778049	0.0599232	0.0688234	0.0514109	0.0597333	0.0556537	-255148.494
9634	0.3238083	0.0592244	0.0710051	0.0649539	0.0767251	0.0636294	0.0665913	0.0648943	-255148.059
9636	0.3238083	0.0563855	0.0753156	0.0654228	0.0767251	0.0583924	0.0640106	0.0648943	-255147.302
9638	0.2973506	0.0549010	0.0644221	0.0711233	0.0834104	0.0634804	0.0695880	0.0705487	-255147.832
9640	0.2973506	0.0512591	0.0673460	0.0690125	0.0880991	0.0634804	0.0695880	0.0705487	-255149.023
9642	0.3029281	0.0519951	0.0673460	0.0702724	0.0880991	0.0682136	0.0705975	0.0670067	-255148.836
9644	0.2945692	0.0499500	0.0673460	0.0722094	0.0842689	0.0682136	0.0728014	0.0658462	-255149.051
9646	0.3071928	0.0527196	0.0675966	0.0684159	0.0834345	0.0646301	0.0689768	0.0666932	-255145.810
9648	0.3476017	0.0603574	0.0773897	0.0632846	0.0711261	0.0564516	0.0602483	0.0601187	-255145.379
9650	0.3517457	0.0599763	0.0773897	0.0605926	0.0711261	0.0538141	0.0602483	0.0567529	-255146.501
9652	0.3517457	0.0599763	0.0806930	0.0585959	0.0711261	0.0583666	0.0602483	0.0567529	-255148.487
9654	0.3086042	0.0566259	0.0727517	0.0676066	0.0810692	0.0583391	0.0672812	0.0646868	-255151.141
9656	0.2687396	0.0493111	0.0633538	0.0820235	0.0930949	0.0765790	0.0772616	0.0742823	-255151.091
9658	0.2687396	0.0493111	0.0603479	0.0810225	0.0930949	0.0702720	0.0772616	0.0805138	-255148.192
9660	0.2696173	0.0494722	0.0605450	0.0746175	0.0927919	0.0700433	0.0769715	0.0732610	-255150.170
9662	0.2975715	0.0548643	0.0671440	0.0683033	0.0817136	0.0639294	0.0725431	0.0709444	-255150.562
9664	0.3504623	0.0584450	0.0776957	0.0626897	0.0720797	0.0540116	0.0607715	0.0600215	-255146.823
9666	0.3407556	0.0578183	0.0755438	0.0644755	0.0741330	0.0555501	0.0625026	0.0595636	-255146.264
9668	0.3121333	0.0524917	0.0685842	0.0678308	0.0816556	0.0611870	0.0688450	0.0656077	-255146.770
9670	0.2962905	0.0508669	0.0664612	0.0724870	0.0808702	0.0631416	0.0710442	0.0730815	-255148.205
9672	0.3382619	0.0580725	0.0758759	0.0634928	0.0708359	0.0567055	0.0622290	0.0615484	-255146.601
9674	0.3525926	0.0637000	0.0757313	0.0625572	0.0697920	0.0540147	0.0604852	0.0606414	-255147.622
9676	0.2943664	0.0503944	0.0628492	0.0712040	0.0840971	0.0644682	0.0728828	0.0675617	-255148.635
9678	0.3277433	0.0573292	0.0746770	0.0689656	0.0739244	0.0616414	0.0640665	0.0612246	-255148.600
9680	0.2918782	0.0510557	0.0660837	0.0725718	0.0887829	0.0692157	0.0719388	0.0704469	-255146.304
9682	0.2944730	0.0515095	0.0666712	0.0694795	0.0834356	0.0686058	0.0713049	0.0698262	-255147.145
9684	0.3439488	0.0601639	0.0778729	0.0627286	0.0771058	0.0587371	0.0610480	0.0597819	-255147.693
9686	0.3439488	0.0601639	0.0778729	0.0627286	0.0736216	0.0587371	0.0610480	0.0595048	-255145.490
9688	0.3370064	0.0589495	0.0721050	0.0640208	0.0751382	0.0599471	0.0623056	0.0609020	-255145.985
9690	0.3310952	0.0589495	0.0721050	0.0640208	0.0747479	0.0633874	0.0623056	0.0638949	-255147.686
9692	0.2900651	0.0494144	0.0654911	0.0778787	0.0830173	0.0677177	0.0742119	0.0743753	-255149.779
9694	0.3276382	0.0558153	0.0710778	0.0689477	0.0799858	0.0555012	0.0628621	0.0680978	-255153.777
9696	0.3772646	0.0647922	0.0825094	0.0560686	0.0655702	0.0512137	0.0568295	0.0554701	-255145.914
9698	0.3156120	0.0553713	0.0705917	0.0682600	0.0780460	0.0608722	0.0667023	0.0651066	-255145.090
9700	0.2820542	0.0503314	0.0641665	0.0755185	0.0858610	0.0669675	0.0733814	0.0716260	-255146.948
9702	0.3319686	0.0576385	0.0734822	0.0667389	0.0723727	0.0598591	0.0640785	0.0625456	-255146.738
9704	0.3319686	0.0576385	0.0734822	0.0643324	0.0723727	0.0598591	0.0640785	0.0625456	-255146.208
9706	0.3319686	0.0576385	0.0734822	0.0633271	0.0758509	0.0598591	0.0640785	0.0625456	-255145.289
9708	0.3063755	0.0531949	0.0678170	0.0686172	0.0832043	0.0648595	0.0694313	0.0677704	-255145.449
9710	0.3509262	0.0607524	0.0777143	0.0610099	0.0739799	0.0576688	0.0591151	0.0598456	-255146.431
9712	0.3509262	0.0607524	0.0777143	0.0610099	0.0739799	0.0549057	0.0608068	0.0598456	-255145.969
9714	0.3509262	0.0607524	0.0777143	0.0610099	0.0735080	0.0541912	0.0588229	0.0578789	-255146.590
9716	0.3433430	0.0594396	0.0760350	0.0623574	0.0751315	0.0567676	0.0601680	0.0591572	-255146.283
9718	0.3118174	0.0547932	0.0700913	0.0693223	0.0815025	0.0615814	0.0678446	0.0642695	-255145.703
9720	0.3633170	0.0640624	0.0770947	0.0592920	0.0697099	0.0526712	0.0580281	0.0549704	-255147.196
9722	0.3062671	0.0551596	0.0663808	0.0718007	0.0809611	0.0656254	0.0673939	0.0655885	-255147.314
9724	0.2880572	0.0499260	0.0639341	0.0720944	0.0860792	0.0697739	0.0741238	0.0713157	-255146.154
9726	0.3061198	0.0530566	0.0679430	0.0684702	0.0805028	0.0652269	0.0697502	0.0671077	-255145.810
9728	0.3517566	0.0609664	0.0780721	0.0624607	0.0726595	0.0529755	0.0615879	0.0584012	-255147.125
9730	0.3418749	0.0586933	0.0749719	0.0624607	0.0758603	0.0578587	0.0615879	0.0602308	-255145.817
