Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	lnL
1	0.3015518	0.0532986	0.0635911	0.0715372	0.0846774	0.0669050	0.0701949	0.0644253	-255149.300
2	0.3591852	0.0629750	0.0751361	0.0605452	0.0689181	0.0513875	0.0594092	0.0545261	-255150.560
4	0.3196664	0.0545696	0.0695479	0.0666523	0.0795336	0.0611926	0.0657572	0.0681496	-255146.908
6	0.3600311	0.0605885	0.0783299	0.0573692	0.0711845	0.0543320	0.0609150	0.0584066	-255149.409
8	0.3600311	0.0645577	0.0783299	0.0588501	0.0685828	0.0543320	0.0585981	0.0584066	-255145.730
10	0.2998254	0.0537621	0.0652312	0.0706674	0.0822014	0.0652420	0.0680365	0.0678665	-255147.507
12	0.3702661	0.0663930	0.0805566	0.0600518	0.0700596	0.0528301	0.0572655	0.0549553	-255147.034
14	0.3683444	0.0626907	0.0805566	0.0571025	0.0671091	0.0515560	0.0572655	0.0549553	-255146.697
16	0.2814534	0.0504757	0.0608547	0.0755896	0.0924697	0.0733324	0.0758053	0.0727473	-255147.450
18	0.3322330	0.0612481	0.0742554	0.0630583	0.0748869	0.0608947	0.0629481	0.0652392	-255148.510
20	0.2962829	0.0521086	0.0662204	0.0707096	0.0839734	0.0682835	0.0718861	0.0684306	-255145.930
22	0.2962829	0.0521086	0.0662204	0.0707096	0.0839734	0.0682835	0.0761494	0.0725011	-255153.937
24	0.3216925	0.0575791	0.0697843	0.0676313	0.0784894	0.0583990	0.0661126	0.0622311	-255146.644
26	0.3216925	0.0575791	0.0735972	0.0652266	0.0812782	0.0571392	0.0642344	0.0639537	-255148.854
28	0.2928440	0.0493884	0.0639503	0.0737867	0.0845584	0.0687073	0.0726642	0.0723467	-255146.231
30	0.3359590	0.0558712	0.0723446	0.0635753	0.0746062	0.0550963	0.0616036	0.0612349	-255149.189
32	0.3308879	0.0558712	0.0773753	0.0614182	0.0780200	0.0598906	0.0641963	0.0612349	-255150.630
34	0.3308879	0.0558712	0.0756600	0.0614182	0.0780200	0.0598906	0.0641963	0.0612349	-255149.280
36	0.2991358	0.0526883	0.0671044	0.0692488	0.0826317	0.0586547	0.0723812	0.0690422	-255150.212
38	0.3048381	0.0526883	0.0683760	0.0730978	0.0803668	0.0666807	0.0688896	0.0690422	-255146.695
40	0.3048381	0.0526883	0.0683760	0.0685749	0.0812589	0.0636904	0.0703805	0.0690422	-255146.225
42	0.3489462	0.0643003	0.0758869	0.0618170	0.0709875	0.0556397	0.0614841	0.0570839	-255147.867
44	0.3206141	0.0553689	0.0688944	0.0700731	0.0781923	0.0612868	0.0665346	0.0682114	-255148.192
46	0.3009236	0.0534948	0.0646633	0.0746583	0.0833088	0.0652971	0.0708882	0.0726747	-255148.510
48	0.2974381	0.0528752	0.0639143	0.0755331	0.0842850	0.0660622	0.0713232	0.0734390	-255148.319
50	0.2907806	0.0530585	0.0621570	0.0704459	0.0889705	0.0660622	0.0713232	0.0734390	-255150.017
52	0.3597325	0.0622054	0.0785485	0.0617879	0.0694897	0.0547346	0.0590935	0.0591222	-255146.022
54	0.3597325	0.0622054	0.0785485	0.0585546	0.0694897	0.0547346	0.0590935	0.0591222	-255145.759
56	0.3597325	0.0622054	0.0785485	0.0626179	0.0726544	0.0547346	0.0590935	0.0570371	-255147.456
58	0.3523730	0.0638750	0.0785485	0.0626179	0.0689911	0.0556478	0.0606928	0.0587304	-255146.990
60	0.2854838	0.0521750	0.0654116	0.0738063	0.0844620	0.0743911	0.0743029	0.0719003	-255149.780
62	0.3490741	0.0615779	0.0799818	0.0603611	0.0729426	0.0522314	0.0607672	0.0588024	-255147.421
64	0.3589707	0.0615779	0.0799818	0.0603611	0.0701265	0.0522314	0.0607672	0.0573684	-255147.275
66	0.3489396	0.0656509	0.0720418	0.0586028	0.0701265	0.0567817	0.0607672	0.0613561	-255154.092
68	0.3087891	0.0564970	0.0694487	0.0734693	0.0814784	0.0641647	0.0686685	0.0693340	-255149.506
70	0.3534438	0.0634049	0.0778040	0.0593689	0.0711843	0.0560581	0.0599928	0.0606596	-255146.340
72	0.3506806	0.0606447	0.0789306	0.0585215	0.0701683	0.0552579	0.0613883	0.0597938	-255147.513
74	0.3504461	0.0606042	0.0788778	0.0600475	0.0672054	0.0552949	0.0614293	0.0598338	-255148.697
76	0.3504461	0.0606042	0.0788778	0.0631470	0.0710447	0.0552949	0.0594417	0.0598338	-255145.941
78	0.3092862	0.0534862	0.0696136	0.0715506	0.0804994	0.0626536	0.0673522	0.0677965	-255145.941
80	0.3304926	0.0556157	0.0723852	0.0688110	0.0774172	0.0602546	0.0647733	0.0605665	-255148.739
82	0.2917638	0.0522974	0.0639027	0.0744851	0.0882032	0.0682528	0.0733714	0.0686061	-255146.732
84	0.3515572	0.0630151	0.0769988	0.0597455	0.0700405	0.0566443	0.0608923	0.0569375	-255146.741
86	0.3018278	0.0541013	0.0661070	0.0722536	0.0816643	0.0659770	0.0709249	0.0663185	-255146.491
88	0.3058387	0.0558962	0.0683001	0.0671786	0.0828404	0.0638585	0.0686474	0.0641890	-255148.468
90	0.3284336	0.0565561	0.0747102	0.0647886	0.0738929	0.0583795	0.0627576	0.0617951	-255147.127
92	0.2988159	0.0506324	0.0682987	0.0723684	0.0808187	0.0652095	0.0709505	0.0690248	-255147.012
94	0.3568877	0.0593184	0.0755843	0.0589647	0.0670236	0.0556610	0.0605613	0.0589176	-255150.873
96	0.3033436	0.0542420	0.0656931	0.0686147	0.0818750	0.0654859	0.0681325	0.0693173	-255147.027
98	0.2912639	0.0520820	0.0633598	0.0761405	0.0884273	0.0682018	0.0709582	0.0721921	-255147.162
100	0.3391040	0.0561761	0.0756231	0.0653987	0.0725653	0.0585800	0.0627884	0.0620074	-255147.466
102	0.3342784	0.0593605	0.0756231	0.0653987	0.0769861	0.0613043	0.0627884	0.0620074	-255146.604
104	0.2977314	0.0516123	0.0673551	0.0706220	0.0864363	0.0643719	0.0704957	0.0696189	-255146.051
106	0.3458614	0.0599557	0.0784483	0.0607943	0.0744078	0.0620032	0.0606856	0.0599307	-255148.326
108	0.3253685	0.0564032	0.0707641	0.0663188	0.0765501	0.0603826	0.0645078	0.0637054	-255145.170
110	0.3288900	0.0593353	0.0739118	0.0663188	0.0765501	0.0603826	0.0645078	0.0617566	-255145.970
112	0.3579133	0.0630302	0.0804342	0.0609409	0.0703426	0.0512043	0.0592768	0.0610748	-255148.149
114	0.3241138	0.0618374	0.0735811	0.0666168	0.0788148	0.0559733	0.0647976	0.0616762	-255151.789
116	0.3552205	0.0611175	0.0777000	0.0607039	0.0718192	0.0569612	0.0599053	0.0562018	-255146.277
118	0.2989649	0.0514385	0.0665141	0.0721264	0.0853333	0.0676795	0.0711776	0.0723698	-255146.515
120	0.3474297	0.0597771	0.0772966	0.0620651	0.0710879	0.0582385	0.0612487	0.0599027	-255145.438
122	0.3474297	0.0597771	0.0772966	0.0620651	0.0710879	0.0589481	0.0612487	0.0599027	-255145.682
124	0.3646221	0.0627351	0.0811215	0.0591387	0.0677360	0.0522835	0.0583607	0.0553637	-255145.774
126	0.3089048	0.0547829	0.0691996	0.0715259	0.0799629	0.0632348	0.0683000	0.0669602	-255145.590
128	0.3089048	0.0519501	0.0661042	0.0672738	0.0837466	0.0632348	0.0683000	0.0669602	-255148.201
130	0.3354842	0.0564201	0.0717921	0.0619439	0.0738782	0.0587317	0.0628888	0.0616551	-255147.979
132	0.2988741	0.0525325	0.0662305	0.0723095	0.0838877	0.0666891	0.0703028	0.0700086	-255144.899
134	0.3189785	0.0577152	0.0727646	0.0658163	0.0763548	0.0607006	0.0639897	0.0670297	-255148.585
136	0.3189785	0.0558884	0.0699431	0.0677397	0.0805749	0.0607006	0.0639897	0.0670297	-255147.572
138	0.3476229	0.0594657	0.0770117	0.0586270	0.0731792	0.0551291	0.0602925	0.0608773	-255147.752
140	0.2801285	0.0507261	0.0620591	0.0727526	0.0882350	0.0684120	0.0748194	0.0723093	-255147.581
142	0.3155037	0.0571319	0.0694050	0.0702051	0.0790616	0.0627405	0.0659403	0.0686702	-255147.636
144	0.3058602	0.0526339	0.0690040	0.0732199	0.0842257	0.0662776	0.0702474	0.0695101	-255148.089
146	0.2796175	0.0497982	0.0614623	0.0773893	0.0848879	0.0720494	0.0742475	0.0692116	-255149.940
148	0.2843935	0.0497982	0.0657327	0.0773893	0.0906284	0.0720494	0.0738685	0.0692116	-255149.023
150	0.3352133	0.0586969	0.0774788	0.0656568	0.0737488	0.0541003	0.0626697	0.0623916	-255148.158
152	0.3352133	0.0586969	0.0732479	0.0656568	0.0737488	0.0541003	0.0626697	0.0599486	-255147.581
154	0.3218990	0.0564083	0.0723811	0.0682548	0.0767409	0.0562952	0.0630396	0.0623808	-255149.527
156	0.3249929	0.0588262	0.0705196	0.0650042	0.0752013	0.0607198	0.0647037	0.0640275	-255146.325
158	0.3813111	0.0663522	0.0788558	0.0554033	0.0677860	0.0517517	0.0534125	0.0545709	-255151.649
160	0.3813111	0.0663522	0.0836701	0.0577665	0.0677860	0.0517517	0.0534125	0.0545709	-255147.790
162	0.3745658	0.0663522	0.0812397	0.0577665	0.0677860	0.0517517	0.0562362	0.0545709	-255145.370
164	0.3745658	0.0663522	0.0812397	0.0549500	0.0677860	0.0570952	0.0562362	0.0549121	-255148.685
166	0.3251841	0.0579086	0.0709017	0.0629622	0.0816147	0.0657263	0.0644359	0.0629187	-255151.152
168	0.3251841	0.0544912	0.0718061	0.0676705	0.0772143	0.0653509	0.0644359	0.0629187	-255147.998
170	0.3251841	0.0559468	0.0718061	0.0676705	0.0772143	0.0653509	0.0644359	0.0629187	-255147.133
172	0.3157304	0.0559468	0.0718061	0.0686710	0.0772143	0.0593862	0.0683723	0.0629187	-255148.157
174	0.2915601	0.0510271	0.0654919	0.0745950	0.0862925	0.0643119	0.0749643	0.0689849	-255148.052
176	0.2931093	0.0519390	0.0628841	0.0732853	0.0847775	0.0692590	0.0717657	0.0681929	-255146.718
178	0.3346076	0.0619575	0.0717871	0.0671066	0.0742633	0.0606695	0.0634199	0.0615058	-255149.101
180	0.3346076	0.0547337	0.0766167	0.0621620	0.0742633	0.0606695	0.0634199	0.0615058	-255149.343
182	0.3346076	0.0582315	0.0715744	0.0621620	0.0735331	0.0606695	0.0634199	0.0643505	-255147.943
184	0.3055177	0.0546170	0.0671317	0.0662758	0.0820180	0.0646845	0.0676170	0.0695870	-255148.501
186	0.3230530	0.0577518	0.0709848	0.0666340	0.0775660	0.0574686	0.0648168	0.0637897	-255145.849
188	0.3230530	0.0577518	0.0709848	0.0666340	0.0775660	0.0574686	0.0648168	0.0637897	-255145.849
190	0.3164617	0.0566894	0.0709848	0.0666340	0.0775660	0.0628833	0.0679574	0.0637897	-255146.693
192	0.3058133	0.0531171	0.0680770	0.0666340	0.0775660	0.0689628	0.0679574	0.0671813	-255150.687
194	0.3706540	0.0643794	0.0795402	0.0582629	0.0671616	0.0513019	0.0583909	0.0554289	-255146.733
196	0.3245419	0.0547364	0.0712242	0.0650656	0.0750033	0.0622130	0.0666889	0.0619006	-255148.252
198	0.3210190	0.0587876	0.0735372	0.0673278	0.0750033	0.0665418	0.0651570	0.0619006	-255150.589
200	0.3266834	0.0561416	0.0735372	0.0632472	0.0785612	0.0618319	0.0651570	0.0619006	-255147.235
202	0.2861825	0.0497906	0.0656888	0.0733717	0.0911370	0.0632793	0.0732997	0.0718096	-255148.747
204	0.2956089	0.0507483	0.0669522	0.0719871	0.0894172	0.0620852	0.0719165	0.0704544	-255148.593
206	0.2922057	0.0507483	0.0640808	0.0719871	0.0854086	0.0649991	0.0719165	0.0704544	-255145.626
208	0.2922057	0.0507483	0.0640808	0.0719871	0.0854086	0.0662929	0.0719165	0.0704544	-255145.376
210	0.3294854	0.0572228	0.0722562	0.0652505	0.0757451	0.0587922	0.0637795	0.0624829	-255144.982
212	0.3294854	0.0572228	0.0696156	0.0652505	0.0788517	0.0587922	0.0637795	0.0624829	-255147.285
214	0.3355397	0.0588739	0.0741036	0.0634204	0.0792501	0.0605473	0.0638617	0.0607305	-255148.040
216	0.3160155	0.0552984	0.0696031	0.0693780	0.0817602	0.0610830	0.0665438	0.0626223	-255146.798
218	0.3160155	0.0552984	0.0723296	0.0704657	0.0786706	0.0667300	0.0665438	0.0663250	-255148.229
220	0.3631565	0.0648457	0.0801046	0.0553077	0.0684585	0.0522704	0.0579058	0.0577154	-255148.442
222	0.2763182	0.0502856	0.0621184	0.0751464	0.0891758	0.0674052	0.0746723	0.0771408	-255148.222
224	0.2883685	0.0514956	0.0610252	0.0754328	0.0870804	0.0658213	0.0751118	0.0685134	-255149.053
226	0.3063544	0.0529961	0.0628034	0.0692810	0.0846149	0.0639577	0.0686511	0.0665736	-255150.333
228	0.3063544	0.0570995	0.0691149	0.0692810	0.0846149	0.0639577	0.0686511	0.0665736	-255148.428
230	0.3566532	0.0647583	0.0783853	0.0610873	0.0705348	0.0563935	0.0590145	0.0547718	-255147.606
232	0.3566532	0.0648488	0.0783853	0.0610873	0.0720462	0.0573326	0.0590145	0.0599477	-255147.431
234	0.3904367	0.0699637	0.0824360	0.0546741	0.0662087	0.0513136	0.0528189	0.0536541	-255148.399
236	0.3904367	0.0699637	0.0787668	0.0546741	0.0636724	0.0513136	0.0549875	0.0536541	-255151.726
238	0.3524375	0.0659616	0.0792339	0.0589886	0.0688640	0.0533082	0.0593267	0.0635788	-255153.102
240	0.3329841	0.0578595	0.0721748	0.0639425	0.0746650	0.0608878	0.0627927	0.0672932	-255149.179
242	0.3382539	0.0578595	0.0721748	0.0654185	0.0702824	0.0543314	0.0627927	0.0621990	-255150.106
244	0.3303649	0.0601369	0.0717493	0.0658064	0.0746323	0.0614671	0.0631650	0.0625678	-255146.616
246	0.3446361	0.0628735	0.0784218	0.0629423	0.0702340	0.0540938	0.0604158	0.0598446	-255147.547
248	0.3528740	0.0625535	0.0784218	0.0603749	0.0672124	0.0505904	0.0604158	0.0598446	-255149.575
250	0.3582622	0.0625535	0.0799352	0.0625466	0.0702479	0.0505904	0.0606515	0.0598446	-255149.755
252	0.3149395	0.0566434	0.0674010	0.0690725	0.0733755	0.0614955	0.0691776	0.0660886	-255152.196
254	0.3653271	0.0632691	0.0794965	0.0585630	0.0667293	0.0559615	0.0576288	0.0560331	-255146.261
256	0.3230480	0.0559470	0.0702964	0.0639475	0.0776981	0.0632855	0.0651710	0.0633665	-255146.844
258	0.3652905	0.0670369	0.0794885	0.0595643	0.0687130	0.0559671	0.0576346	0.0560387	-255146.904
260	0.3686564	0.0670369	0.0794885	0.0560108	0.0644545	0.0559671	0.0550561	0.0560387	-255152.058
262	0.2903393	0.0495081	0.0661010	0.0771527	0.0864301	0.0641795	0.0736235	0.0728506	-255148.089
264	0.3447508	0.0587863	0.0784888	0.0600054	0.0717897	0.0620430	0.0620036	0.0613527	-255149.484
266	0.3405553	0.0568581	0.0742453	0.0657921	0.0717897	0.0553074	0.0620036	0.0613527	-255148.289
268	0.3307866	0.0605379	0.0710246	0.0657921	0.0752239	0.0553074	0.0626229	0.0613527	-255148.606
270	0.3747142	0.0629114	0.0790992	0.0604964	0.0648712	0.0496615	0.0562302	0.0550897	-255150.974
272	0.3077223	0.0553870	0.0645549	0.0741264	0.0822405	0.0618688	0.0709582	0.0675015	-255151.319
274	0.3096900	0.0531376	0.0625259	0.0692709	0.0818055	0.0621882	0.0699536	0.0670726	-255151.833
276	0.3381455	0.0596508	0.0701898	0.0647315	0.0712778	0.0553979	0.0623154	0.0639610	-255150.841
278	0.3381455	0.0592246	0.0766274	0.0618393	0.0721249	0.0598849	0.0623154	0.0639610	-255147.538
280	0.3091929	0.0582021	0.0700664	0.0676299	0.0788786	0.0654925	0.0681506	0.0653845	-255149.359
282	0.3517568	0.0662142	0.0797119	0.0615320	0.0693340	0.0574981	0.0599041	0.0574727	-255149.185
284	0.3098305	0.0559014	0.0667036	0.0716771	0.0812607	0.0579455	0.0678305	0.0685176	-255148.956
286	0.3048418	0.0516651	0.0701685	0.0674328	0.0812607	0.0588414	0.0695123	0.0685176	-255149.907
288	0.3427996	0.0615891	0.0790341	0.0631048	0.0721453	0.0578880	0.0617148	0.0608317	-255146.706
290	0.3427996	0.0580045	0.0790341	0.0631048	0.0721453	0.0578880	0.0617148	0.0608317	-255146.760
292	0.3297792	0.0572980	0.0725700	0.0655963	0.0757061	0.0601735	0.0641515	0.0596543	-255146.351
294	0.2855692	0.0496167	0.0628413	0.0757515	0.0874265	0.0694892	0.0740830	0.0725379	-255144.851
296	0.2855692	0.0496167	0.0628413	0.0721650	0.0851508	0.0665687	0.0724401	0.0725379	-255147.748
298	0.2855692	0.0531456	0.0628413	0.0721650	0.0851508	0.0713675	0.0724401	0.0725379	-255149.272
300	0.3344883	0.0572902	0.0736063	0.0652950	0.0750523	0.0574650	0.0638504	0.0619291	-255145.437
302	0.3767396	0.0676351	0.0815695	0.0589206	0.0673136	0.0518550	0.0576170	0.0558833	-255147.651
304	0.3016419	0.0535678	0.0667643	0.0719864	0.0847747	0.0633540	0.0687042	0.0682756	-255145.788
306	0.3478047	0.0614500	0.0765883	0.0586528	0.0739007	0.0552276	0.0625358	0.0595179	-255148.737
308	0.3048799	0.0538661	0.0671360	0.0693080	0.0811413	0.0630032	0.0713403	0.0678976	-255146.747
310	0.3454004	0.0636189	0.0754422	0.0616771	0.0682129	0.0527780	0.0610084	0.0604221	-255150.121
312	0.3080034	0.0547997	0.0704821	0.0696101	0.0820472	0.0595663	0.0688554	0.0681936	-255147.110
314	0.3664980	0.0652070	0.0794273	0.0585001	0.0717845	0.0500593	0.0578658	0.0573096	-255148.095
316	0.3596954	0.0628911	0.0781743	0.0611041	0.0699006	0.0543616	0.0571145	0.0590909	-255146.846
318	0.3661169	0.0652613	0.0779527	0.0573662	0.0673597	0.0523872	0.0550402	0.0547382	-255151.144
320	0.3590083	0.0597091	0.0749939	0.0608133	0.0724031	0.0585960	0.0592607	0.0579140	-255150.247
322	0.3077009	0.0524486	0.0679726	0.0700347	0.0795222	0.0639596	0.0691421	0.0675708	-255145.682
324	0.3474917	0.0554008	0.0754097	0.0647648	0.0722195	0.0576518	0.0623231	0.0581068	-255152.034
326	0.3489045	0.0569986	0.0785460	0.0618195	0.0696546	0.0576518	0.0623231	0.0581068	-255149.987
328	0.3123260	0.0537737	0.0664426	0.0690596	0.0819461	0.0603461	0.0696222	0.0668948	-255147.796
330	0.3470125	0.0624413	0.0791337	0.0612872	0.0718956	0.0513371	0.0594649	0.0590242	-255148.421
332	0.3005116	0.0524712	0.0663851	0.0707707	0.0868270	0.0592810	0.0699551	0.0681575	-255148.414
334	0.2594421	0.0478847	0.0573126	0.0779468	0.0952556	0.0671730	0.0810290	0.0789468	-255152.100
336	0.2594421	0.0472242	0.0573126	0.0779468	0.0952556	0.0764046	0.0810290	0.0789468	-255148.121
338	0.2685568	0.0510268	0.0567123	0.0801808	0.0892489	0.0738115	0.0782789	0.0762674	-255151.538
340	0.2685568	0.0510268	0.0542589	0.0821454	0.0892489	0.0738115	0.0798367	0.0777222	-255156.709
342	0.3090494	0.0526431	0.0665541	0.0713824	0.0802656	0.0641405	0.0693762	0.0675388	-255146.423
344	0.3090494	0.0526431	0.0665541	0.0658505	0.0802656	0.0641405	0.0693762	0.0675388	-255148.605
346	0.3090494	0.0556286	0.0677939	0.0658505	0.0802656	0.0665232	0.0666388	0.0694348	-255149.528
348	0.2816013	0.0496626	0.0616225	0.0737612	0.0899079	0.0745147	0.0746441	0.0716378	-255147.436
350	0.2816013	0.0496626	0.0616225	0.0736742	0.0899079	0.0676657	0.0746441	0.0716378	-255146.476
352	0.3164627	0.0576149	0.0673265	0.0713920	0.0815302	0.0635436	0.0679571	0.0652201	-255149.616
354	0.3601118	0.0641035	0.0805508	0.0593597	0.0699822	0.0515906	0.0575146	0.0586184	-255146.365
356	0.3516088	0.0625899	0.0786489	0.0607952	0.0693727	0.0582923	0.0589055	0.0600360	-255146.644
358	0.3516088	0.0654091	0.0786489	0.0607952	0.0721008	0.0582923	0.0607788	0.0568945	-255148.799
360	0.3042462	0.0533520	0.0663760	0.0702593	0.0847219	0.0621927	0.0702404	0.0697236	-255146.290
362	0.3266456	0.0594235	0.0712628	0.0622700	0.0789122	0.0626841	0.0654237	0.0649424	-255149.593
364	0.3358584	0.0594235	0.0712628	0.0622700	0.0789122	0.0576035	0.0635456	0.0636888	-255149.348
366	0.3279409	0.0622288	0.0737618	0.0668499	0.0762096	0.0630782	0.0635456	0.0636888	-255150.422
368	0.2786412	0.0499904	0.0617806	0.0786775	0.0896932	0.0695414	0.0747886	0.0749572	-255145.605
370	0.2921847	0.0524203	0.0647835	0.0750306	0.0855357	0.0663180	0.0713220	0.0714828	-255145.605
372	0.3374216	0.0605361	0.0752253	0.0649715	0.0715529	0.0574270	0.0617601	0.0618993	-255146.477
374	0.3374216	0.0574735	0.0765801	0.0649715	0.0715529	0.0574270	0.0636939	0.0618993	-255147.414
376	0.2938018	0.0533729	0.0619477	0.0726498	0.0800089	0.0690303	0.0712212	0.0692146	-255150.856
378	0.3014469	0.0533729	0.0645081	0.0726498	0.0800089	0.0690303	0.0687844	0.0692146	-255148.469
380	0.3648240	0.0645942	0.0780705	0.0600291	0.0661098	0.0507056	0.0568352	0.0571906	-255148.555
382	0.3404334	0.0576941	0.0775595	0.0643300	0.0752415	0.0556170	0.0609072	0.0612881	-255147.208
384	0.3078737	0.0557392	0.0669844	0.0687498	0.0850097	0.0614989	0.0699429	0.0677697	-255148.153
386	0.3078737	0.0525846	0.0720838	0.0705039	0.0784410	0.0614989	0.0682250	0.0677697	-255148.496
388	0.3128058	0.0551373	0.0720838	0.0705039	0.0809552	0.0614989	0.0682250	0.0677697	-255147.529
390	0.3128058	0.0540884	0.0720838	0.0651619	0.0792933	0.0614989	0.0674465	0.0640922	-255148.276
392	0.3399567	0.0587831	0.0760243	0.0644974	0.0729605	0.0565872	0.0620354	0.0631778	-255146.075
394	0.3263945	0.0586537	0.0704587	0.0671774	0.0804743	0.0589385	0.0646131	0.0622214	-255147.580
396	0.2869507	0.0508790	0.0599898	0.0746212	0.0918029	0.0664367	0.0728332	0.0717403	-255149.263
398	0.2966470	0.0525982	0.0673439	0.0721821	0.0839927	0.0717842	0.0718938	0.0693953	-255147.623
400	0.2966470	0.0525982	0.0673439	0.0721821	0.0870882	0.0680785	0.0697707	0.0693953	-255146.658
402	0.2952093	0.0533278	0.0664078	0.0731996	0.0845129	0.0645901	0.0707542	0.0703736	-255145.729
404	0.2952093	0.0544835	0.0661962	0.0731996	0.0845129	0.0645901	0.0719170	0.0703736	-255146.899
406	0.3301940	0.0570415	0.0703634	0.0679785	0.0755586	0.0652050	0.0626257	0.0629174	-255150.116
408	0.2913324	0.0503281	0.0620821	0.0742686	0.0820848	0.0679178	0.0709796	0.0713101	-255148.687
410	0.3140974	0.0567080	0.0704273	0.0688858	0.0812338	0.0629953	0.0685123	0.0661417	-255146.672
412	0.3170943	0.0578742	0.0704273	0.0667282	0.0812338	0.0629953	0.0685123	0.0647425	-255148.339
414	0.3265410	0.0569832	0.0725254	0.0681690	0.0754514	0.0611729	0.0665303	0.0586434	-255150.550
416	0.3787693	0.0660973	0.0803425	0.0553972	0.0676995	0.0545514	0.0573565	0.0559957	-255148.756
418	0.3787693	0.0660973	0.0803425	0.0571883	0.0652874	0.0545514	0.0563289	0.0559957	-255147.257
420	0.3421726	0.0613893	0.0746198	0.0615742	0.0702944	0.0587350	0.0634776	0.0602900	-255148.234
422	0.2926578	0.0512759	0.0647547	0.0728135	0.0865243	0.0685507	0.0735011	0.0721812	-255145.823
424	0.2926578	0.0512759	0.0647547	0.0739592	0.0830420	0.0685507	0.0711626	0.0721812	-255146.032
426	0.3228255	0.0593179	0.0714297	0.0670478	0.0747498	0.0621447	0.0653071	0.0654360	-255147.468
428	0.2804804	0.0489640	0.0620603	0.0771703	0.0860351	0.0715269	0.0751668	0.0753151	-255146.118
430	0.3287274	0.0588575	0.0727356	0.0658441	0.0761505	0.0610289	0.0641346	0.0642612	-255145.478
432	0.3603099	0.0618664	0.0797237	0.0600726	0.0694757	0.0536176	0.0585130	0.0586284	-255145.235
434	0.3523412	0.0592228	0.0797237	0.0622431	0.0736193	0.0578594	0.0617612	0.0586284	-255148.772
436	0.2904974	0.0501377	0.0662837	0.0735217	0.0869594	0.0683437	0.0729525	0.0714104	-255145.654
438	0.2981176	0.0511112	0.0662837	0.0735217	0.0828770	0.0683437	0.0701278	0.0688452	-255145.944
440	0.3075364	0.0527260	0.0683779	0.0712700	0.0803387	0.0662505	0.0679800	0.0667367	-255145.944
442	0.3075364	0.0561838	0.0683779	0.0677122	0.0762996	0.0607611	0.0679800	0.0667367	-255149.526
444	0.3008606	0.0530489	0.0683779	0.0706282	0.0829703	0.0661085	0.0691086	0.0657710	-255146.519
446	0.3069470	0.0565817	0.0670083	0.0706282	0.0829703	0.0661085	0.0674995	0.0657710	-255147.695
448	0.3682902	0.0642474	0.0803999	0.0588642	0.0665220	0.0550973	0.0577854	0.0548161	-255146.094
450	0.3559462	0.0629916	0.0803999	0.0588642	0.0690625	0.0550973	0.0588422	0.0587022	-255145.739
452	0.2641725	0.0495665	0.0575749	0.0834509	0.0981682	0.0742382	0.0792840	0.0790954	-255149.325
454	0.3076813	0.0577300	0.0670574	0.0679772	0.0805731	0.0637403	0.0680726	0.0679106	-255148.232
456	0.3076813	0.0538671	0.0696989	0.0679772	0.0837947	0.0637403	0.0680726	0.0633036	-255148.075
458	0.3076813	0.0555184	0.0696989	0.0708186	0.0837947	0.0637403	0.0680726	0.0687752	-255146.939
460	0.3483553	0.0622669	0.0782560	0.0645969	0.0740108	0.0569728	0.0607540	0.0607450	-255147.840
462	0.2764401	0.0503589	0.0577563	0.0798716	0.0899438	0.0726852	0.0781628	0.0721916	-255150.217
464	0.3189300	0.0574475	0.0681443	0.0651467	0.0787561	0.0616049	0.0662476	0.0663554	-255147.240
466	0.3619113	0.0637843	0.0799742	0.0586746	0.0671853	0.0554847	0.0584473	0.0569419	-255145.660
468	0.3619113	0.0637843	0.0799742	0.0586746	0.0698047	0.0566302	0.0571984	0.0607720	-255148.118
470	0.3475247	0.0612487	0.0767951	0.0641988	0.0764148	0.0589745	0.0595663	0.0585451	-255149.208
472	0.3471049	0.0617949	0.0782590	0.0629979	0.0723035	0.0578713	0.0606544	0.0598228	-255145.582
474	0.2878835	0.0512517	0.0659963	0.0759574	0.0871773	0.0608714	0.0731318	0.0721292	-255149.137
476	0.3324470	0.0574078	0.0731969	0.0657755	0.0733260	0.0578861	0.0633287	0.0624605	-255145.739
478	0.2978686	0.0506282	0.0641299	0.0734111	0.0818382	0.0618282	0.0706803	0.0697113	-255147.953
480	0.2978686	0.0506282	0.0641299	0.0734111	0.0810771	0.0648110	0.0725534	0.0697113	-255147.839
482	0.3197572	0.0571981	0.0719239	0.0668175	0.0810685	0.0589899	0.0649579	0.0634500	-255146.784
484	0.3620424	0.0621272	0.0803758	0.0597913	0.0690788	0.0527868	0.0581272	0.0567779	-255145.225
486	0.3241961	0.0575645	0.0719737	0.0667713	0.0771429	0.0593083	0.0649129	0.0634061	-255144.971
488	0.3241961	0.0575645	0.0719737	0.0658622	0.0799873	0.0574622	0.0649129	0.0634061	-255146.367
490	0.3349517	0.0596587	0.0745921	0.0658844	0.0724407	0.0554452	0.0626343	0.0611803	-255146.855
492	0.3411103	0.0596587	0.0745921	0.0659334	0.0755318	0.0554452	0.0626343	0.0611803	-255147.206
494	0.3230037	0.0592694	0.0702052	0.0675852	0.0733164	0.0599955	0.0656383	0.0627131	-255148.783
496	0.3368801	0.0609901	0.0737632	0.0656784	0.0734671	0.0583028	0.0637864	0.0609437	-255146.813
