tl:0.1	tl:0.3	tl:0.5	tl:1	tl:1.5	tl:2	tl:3
0.42087	0.39888	0.53415	0.43911	0.47554	0.47509	0.46168
0.49364	0.39963	0.68331	0.47136	0.52424	0.64382	0.47962
0.34246	0.39553	0.48514	0.59441	0.46189	0.45743	0.43687
0.64852	0.52440	0.69930	0.42879	0.51922	0.45760	0.43168
0.60043	0.51640	0.54365	0.55529	0.43825	0.61978	0.50685
0.47354	0.43332	0.60970	0.52983	0.47732	0.57320	0.51496
0.57708	0.46986	0.55957	0.57567	0.45348	0.51377	0.42463
0.34795	0.50766	0.58122	0.36215	0.52010	0.50385	0.53874
0.67382	0.41992	0.51887	0.49291	0.48243	0.57079	0.46753
0.47368	0.50750	0.55326	0.52618	0.51231	0.45802	0.46521
