Iteration	Posterior	Likelihood	Prior	alpha	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	er[1]	er[2]	er[3]	er[4]	er[5]	er[6]	pi[1]	pi[2]	pi[3]	pi[4]	sr[1]	sr[2]	sr[3]	sr[4]	sr[5]	TL
120	-5220.238	-5248.503	28.26458	0.194438	0.023541	0.0313972	0.0177219	0.0711294	0.031437	0.055813	0.0634707	0.0269688	0.00776967	0.00731806	0.13663	0.0633295	0.0152202	0.00661679	0.0230529	0.00598625	0.000646676	0.0496813	0.0187653	0.0139346	0.0306778	0.116112	0.241488	0.0439499	0.0796214	0.446745	0.0720837	0.278574	0.187112	0.255779	0.278535	0.000138354	0.00966452	0.110827	0.647367	4.232	0.7011083
130	-5220.279	-5247.725	27.44527	0.2006596	0.0522069	0.0340249	0.0268876	0.0726329	0.0530479	0.0400737	0.0898362	0.0269688	0.00959273	0.00723074	0.107484	0.0849495	0.0143228	0.00661679	0.0197142	0.0174855	0.00225052	0.0367583	0.0448707	0.00904829	0.0270367	0.124634	0.279172	0.059907	0.0889475	0.363237	0.0841023	0.268965	0.1842	0.247922	0.298914	0.000178678	0.0111611	0.119665	0.667707	4.20129	0.7830393
140	-5223.654	-5250.886	27.23215	0.1803232	0.035495	0.0528081	0.0140637	0.0603571	0.0548652	0.0511344	0.0595383	0.0563574	0.0182031	0.00575948	0.15127	0.0843477	0.015251	0.00661679	0.00706138	0.0126739	0.000943894	0.038653	0.0389974	0.0121837	0.0277707	0.122889	0.253987	0.0397806	0.0854584	0.432429	0.0654562	0.270432	0.186952	0.236757	0.305859	7.25246e-05	0.00671463	0.0912086	0.598116	4.30389	0.8043506
150	-5215.554	-5243.633	28.07944	0.200649	0.0363617	0.0351558	0.0132672	0.0498787	0.0497348	0.0384431	0.0540539	0.0241118	0.0133427	0.00370583	0.134553	0.0725604	0.0154089	0.00143022	0.0188985	0.0138797	0.0061174	0.06241	0.0356194	0.0120492	0.0286406	0.108611	0.296324	0.0541541	0.098965	0.363709	0.0782363	0.267313	0.201503	0.233963	0.297222	0.000178602	0.0111584	0.11965	0.667673	4.20134	0.7196222
160	-5216.798	-5244.461	27.66249	0.2204778	0.0327557	0.0395964	0.0236535	0.0826074	0.0521218	0.0616562	0.076482	0.024844	0.0134713	0.00277564	0.13441	0.0729002	0.00802705	0.0118385	0.0107522	0.00938434	0.00491045	0.0302339	0.0309496	0.00827082	0.0296756	0.0953411	0.307978	0.0422797	0.0979497	0.404946	0.0515056	0.275842	0.206306	0.235605	0.282247	0.000366436	0.0167075	0.14822	0.727312	4.10739	0.7613171
170	-5215.825	-5243.058	27.23352	0.2217749	0.0464284	0.0334178	0.0236726	0.0721296	0.0423475	0.0403053	0.0724102	0.0304392	0.0190305	0.00738129	0.134734	0.0902444	0.0122328	0.00550708	0.0159463	0.0250155	0.00537478	0.0474136	0.0296092	0.02202	0.0285536	0.108709	0.312512	0.0352684	0.117247	0.366989	0.0592747	0.271212	0.199621	0.226927	0.302241	0.000382353	0.0171105	0.150099	0.730953	4.10145	0.8042141
180	-5213.465	-5241.166	27.70142	0.1946568	0.0300113	0.0332364	0.0259869	0.0636753	0.0427558	0.0408996	0.0608585	0.0281802	0.0115114	0.00427686	0.140641	0.0931899	0.0185407	0.00697378	0.00841391	0.0237946	0.00525196	0.0466371	0.0273921	0.0173004	0.0278961	0.139078	0.284208	0.0424205	0.12911	0.351193	0.0539904	0.267846	0.182476	0.249457	0.300221	0.000139643	0.00971512	0.111136	0.648096	4.23091	0.7574237
190	-5219.51	-5246.781	27.27092	0.2219014	0.0267418	0.0431441	0.0283329	0.0717143	0.0621813	0.0293148	0.0745683	0.0378558	0.0132577	0.00432742	0.142748	0.0984838	0.0209155	0.00575129	0.00774693	0.0121631	0.00673332	0.0393605	0.0335976	0.0179768	0.0235587	0.112976	0.327557	0.0394646	0.120333	0.336165	0.063504	0.289153	0.18963	0.235938	0.28528	0.000383931	0.01715	0.150282	0.731307	4.10088	0.8004737
200	-5212.49	-5239.759	27.26882	0.2202769	0.0296025	0.0477038	0.0280081	0.0703905	0.0501987	0.0471938	0.0785556	0.0353037	0.0120838	0.00283059	0.131537	0.0870327	0.00709608	0.00575129	0.010826	0.0176216	0.00200114	0.0344081	0.0440842	0.0142681	0.0441862	0.105776	0.27749	0.0400205	0.0906545	0.401293	0.0847673	0.282802	0.183015	0.241917	0.292267	0.000364014	0.0166454	0.147929	0.726746	4.10832	0.8006837
210	-5217.142	-5245.926	28.78436	0.1791231	0.0248678	0.0370175	0.0215844	0.0630012	0.0437488	0.0362016	0.05517	0.0245632	0.0101265	0.00391256	0.116237	0.0675999	0.0140447	0.000987968	0.0153689	0.0101295	0.000204314	0.0344081	0.0136727	0.0193614	0.0369214	0.0968295	0.291922	0.0330974	0.0957193	0.42531	0.0571218	0.268656	0.180466	0.227503	0.323376	6.83267e-05	0.0064924	0.0895764	0.593723	4.31014	0.6491298
