Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
210	0.3493176	0.0593558	0.0795425	0.0624428	0.0731827	0.0584232	0.0646669	0.0630140	0.0302268	0.0033712	0.0007648	0.0266069	0.0134399	-255120.255
215	0.3552339	0.0537282	0.0757585	0.0735039	0.0726311	0.0579828	0.0583725	0.0557466	0.1351685	0.0101848	0.0013476	0.0202411	0.0499616	-255122.369
220	0.2966326	0.0484599	0.0624426	0.0774460	0.0869797	0.0628345	0.0710783	0.0836030	0.1351685	0.0052229	0.0144305	0.0040143	0.0227465	-255124.804
225	0.3644576	0.0595402	0.0767200	0.0675330	0.0707929	0.0579635	0.0578507	0.0545657	0.1046712	0.0076429	0.0144791	0.0128534	0.0075349	-255115.077
230	0.3617271	0.0624924	0.0715955	0.0537106	0.0786288	0.0598389	0.0648237	0.0554334	0.1883028	0.0228484	0.0261512	0.0306842	0.0517022	-255124.624
235	0.3218917	0.0543532	0.0669775	0.0665002	0.0771411	0.0613165	0.0635118	0.0713633	0.0429565	0.0422553	0.0433932	0.0215852	0.0517022	-255121.777
240	0.3120403	0.0572042	0.0644284	0.0894737	0.0804198	0.0604138	0.0654235	0.0526060	0.0429565	0.1128871	0.0574179	0.0109333	0.0517022	-255121.858
245	0.3462087	0.0632386	0.0727415	0.0681453	0.0808970	0.0550869	0.0640649	0.0609376	0.0418867	0.1006708	0.0241208	0.0323488	0.0228726	-255119.335
250	0.3959887	0.0764748	0.0790906	0.0639027	0.0636496	0.0510058	0.0486320	0.0468389	0.0074833	0.1006708	0.0478396	0.0595776	0.0150616	-255118.292
255	0.3823767	0.0684996	0.0746039	0.0687274	0.0664613	0.0544571	0.0542650	0.0552747	0.0197468	0.0413558	0.0157748	0.0190995	0.0200026	-255120.005
260	0.3233933	0.0575568	0.0668686	0.0812626	0.0857538	0.0562464	0.0665225	0.0709603	0.0327651	0.0780252	0.0069250	0.0462644	0.1907011	-255122.118
265	0.3149955	0.0512016	0.0667797	0.0708232	0.0876233	0.0744513	0.0728113	0.0715441	0.0942732	0.0401372	0.0186225	0.0462644	0.1907011	-255123.203
270	0.3757833	0.0679219	0.0791649	0.0572049	0.0710019	0.0740175	0.0621054	0.0613329	0.0407561	0.0401372	0.1028934	0.0462644	0.1073159	-255125.540
275	0.2860161	0.0527994	0.0594436	0.0761835	0.0901024	0.0897228	0.0821995	0.0747706	0.0473116	0.0938064	0.1404812	0.0299615	0.0083938	-255116.711
280	0.2997209	0.0543972	0.0641784	0.0830025	0.0839378	0.0566507	0.0634675	0.0648665	0.0473116	0.0411228	0.0497150	0.0184174	0.0159494	-255118.292
285	0.3594971	0.0613547	0.0782821	0.0552989	0.0813462	0.0570324	0.0558481	0.0564138	0.0473116	0.0211949	0.0167652	0.0099665	0.0091914	-255116.207
290	0.3524187	0.0587368	0.0757992	0.0603131	0.0882339	0.0562749	0.0614452	0.0509726	0.0473116	0.0825911	0.0167652	0.0013970	0.0146928	-255118.059
295	0.3604044	0.0617308	0.0745240	0.0603131	0.0704506	0.0562749	0.0614452	0.0573756	0.0473116	0.0185488	0.0049721	0.0014830	0.0146928	-255121.126
300	0.3487638	0.0549906	0.0745022	0.0737912	0.0734693	0.0536028	0.0640781	0.0598341	0.0320048	0.0253891	0.0140488	0.0014830	0.0084400	-255122.009
305	0.3468060	0.0555832	0.0748304	0.0737912	0.0859053	0.0536028	0.0640781	0.0598341	0.0246310	0.0111123	0.0140488	0.0064554	0.0013538	-255123.044
310	0.3680127	0.0607312	0.0799011	0.0665234	0.0660882	0.0483233	0.0585988	0.0539409	0.0271870	0.0092402	0.0037326	0.0003069	0.0028908	-255123.155
315	0.3650220	0.0612238	0.0799011	0.0665234	0.0660882	0.0483233	0.0585988	0.0539409	0.0271870	0.0072044	0.0040864	0.0007733	0.0141695	-255125.124
320	0.3022559	0.0514551	0.0646669	0.0748112	0.0816572	0.0597073	0.0724034	0.0666483	0.0271870	0.0180256	0.0015062	0.0126483	0.0045614	-255125.740
325	0.2982352	0.0514551	0.0646669	0.0748112	0.0873437	0.0597073	0.0792263	0.0623343	0.0271870	0.0180256	0.0177343	0.0498275	0.0167432	-255122.057
330	0.3512942	0.0589795	0.0771593	0.0617061	0.0732025	0.0500405	0.0600871	0.0593721	0.0271870	0.0751029	0.0152059	0.0016530	0.0024267	-255122.978
335	0.2972396	0.0528179	0.0625912	0.0734571	0.0838533	0.0742378	0.0715298	0.0706787	0.0271870	0.0176492	0.0152059	0.0024103	0.0206567	-255117.732
340	0.3732038	0.0635572	0.0792957	0.0639287	0.0708577	0.0525852	0.0574875	0.0506628	0.0271870	0.0460570	0.0159780	0.0071518	0.0043244	-255117.849
345	0.3360325	0.0540242	0.0712458	0.0764348	0.0914629	0.0552736	0.0651409	0.0563871	0.0271870	0.0205387	0.0159780	0.0019727	0.0095254	-255120.603
350	0.2748959	0.0484848	0.0617783	0.1035799	0.0995233	0.0728550	0.0791398	0.0655344	0.0598439	0.0816487	0.0135938	0.0019727	0.0171201	-255116.278
355	0.3314324	0.0552026	0.0721323	0.0745772	0.0694149	0.0589903	0.0635148	0.0598360	0.0598439	0.0381837	0.0092758	0.0068458	0.0425933	-255115.477
360	0.3115511	0.0533291	0.0684260	0.0813326	0.0870284	0.0581218	0.0707938	0.0717493	0.0660659	0.0381837	0.0048252	0.0096212	0.0049331	-255120.001
365	0.3501832	0.0622093	0.0737089	0.0708115	0.0728128	0.0495468	0.0631109	0.0562482	0.0660659	0.0721171	0.0077639	0.0055572	0.0177831	-255121.937
370	0.3058654	0.0492482	0.0661937	0.0669050	0.1037875	0.0626782	0.0710904	0.0647458	0.0272402	0.0530340	0.0211326	0.0049567	0.0177831	-255119.262
375	0.3921789	0.0637465	0.0771157	0.0550122	0.0684163	0.0528399	0.0565123	0.0547929	0.0572295	0.0193722	0.0068809	0.0049567	0.0057178	-255118.284
380	0.3427748	0.0535419	0.0739773	0.0633210	0.0782771	0.0657062	0.0570909	0.0667088	0.0111954	0.0389264	0.0156884	0.0103462	0.0083686	-255130.655
385	0.3495727	0.0578987	0.0756601	0.0692035	0.0788137	0.0540923	0.0596514	0.0626401	0.0230045	0.0147446	0.0156884	0.0103462	0.0183662	-255121.810
390	0.3284138	0.0542272	0.0740705	0.0752162	0.0810054	0.0555965	0.0685195	0.0643820	0.0181507	0.0291931	0.0143562	0.0059038	0.0173289	-255120.714
395	0.3443613	0.0634862	0.0756522	0.0654668	0.0703782	0.0541056	0.0588811	0.0571586	0.0661623	0.0175481	0.0058958	0.0104258	0.0351784	-255119.343
400	0.3394146	0.0625742	0.0663482	0.0774522	0.0834635	0.0623071	0.0679220	0.0599269	0.0206703	0.0445160	0.0058958	0.0436022	0.0044822	-255122.688
405	0.3405804	0.0603337	0.0649807	0.0764644	0.0812433	0.0615124	0.0583812	0.0591626	0.0110007	0.0471516	0.0050301	0.0162189	0.0100621	-255120.318
410	0.3115914	0.0573166	0.0640880	0.0810380	0.0798528	0.0620266	0.0669911	0.0627013	0.0371144	0.0926821	0.0025871	0.0075390	0.0283603	-255123.857
415	0.3552676	0.0609266	0.0730714	0.0607103	0.0709043	0.0544011	0.0614718	0.0540967	0.0371144	0.0552653	0.0088178	0.0075390	0.0283603	-255123.129
420	0.3157418	0.0500736	0.0676877	0.0664354	0.0787691	0.0595313	0.0672688	0.0671809	0.1581759	0.0552653	0.0365613	0.0036035	0.0948499	-255120.863
425	0.3542089	0.0599291	0.0760247	0.0746096	0.0674943	0.0530962	0.0595184	0.0575284	0.0896212	0.1129475	0.0365613	0.0036035	0.0364180	-255119.749
430	0.3044565	0.0533640	0.0692871	0.0727052	0.0757977	0.0567568	0.0699798	0.0754316	0.0738063	0.0371738	0.0079520	0.0065576	0.0230388	-255123.828
435	0.3025081	0.0508427	0.0617109	0.0745905	0.0870533	0.0582725	0.0722155	0.0774460	0.0656245	0.0371738	0.0283679	0.0005969	0.0358089	-255127.633
440	0.3350786	0.0541386	0.0718316	0.0703459	0.0968298	0.0568939	0.0637587	0.0574721	0.0356715	0.0208842	0.0028683	0.0021300	0.0358335	-255118.914
445	0.2957696	0.0515127	0.0637125	0.0726236	0.0811140	0.0641441	0.0718836	0.0714823	0.0518072	0.0442238	0.0495036	0.0037643	0.0358335	-255130.164
450	0.2957696	0.0515127	0.0601876	0.0817329	0.0991525	0.0696978	0.0718836	0.0714823	0.0518072	0.0254038	0.0495036	0.0052781	0.0457357	-255127.628
455	0.2965775	0.0530177	0.0667740	0.0965152	0.0809602	0.0672203	0.0693284	0.0671598	0.0518072	0.0254038	0.0097978	0.0064975	0.0131778	-255115.688
460	0.2994051	0.0505867	0.0670502	0.0822156	0.0801526	0.0598583	0.0714299	0.0703294	0.0121367	0.0712127	0.0023525	0.0075749	0.0399633	-255120.450
465	0.3052856	0.0534592	0.0661360	0.0777956	0.0845949	0.0570779	0.0667872	0.0590680	0.0167243	0.0648600	0.0160157	0.0153958	0.0617223	-255118.385
470	0.3669513	0.0643888	0.0727234	0.0587569	0.0845683	0.0525036	0.0685219	0.0535463	0.0329435	0.1035220	0.0145656	0.0400829	0.0202781	-255117.355
475	0.3005516	0.0534792	0.0590643	0.0719597	0.0973305	0.0646456	0.0631327	0.0738012	0.0329435	0.0173482	0.0145656	0.0400829	0.1121384	-255125.263
480	0.3248134	0.0569101	0.0628986	0.0752123	0.0803257	0.0551639	0.0598478	0.0480479	0.0329435	0.0117377	0.0019162	0.0309054	0.1121384	-255127.664
485	0.4026160	0.0728028	0.0796738	0.0569140	0.0610630	0.0463404	0.0506108	0.0502197	0.0084477	0.0444055	0.0082571	0.0309054	0.0450088	-255124.777
490	0.3671728	0.0639982	0.0764827	0.0625969	0.0727118	0.0509675	0.0554696	0.0601959	0.0137157	0.0182007	0.0025961	0.0176730	0.0864273	-255124.007
495	0.2973034	0.0519236	0.0631259	0.0783854	0.0868304	0.0608639	0.0663942	0.0527526	0.0339389	0.0019572	0.0083517	0.0211701	0.0864273	-255127.897
500	0.2716244	0.0507945	0.0589645	0.0751328	0.0929584	0.0651593	0.0745880	0.0705160	0.0339389	0.0049476	0.0136563	0.0117428	0.0864273	-255119.563
505	0.3428197	0.0598965	0.0711331	0.0680018	0.0730175	0.0541194	0.0576980	0.0596158	0.0339389	0.0097106	0.0198768	0.0187470	0.0283082	-255125.462
510	0.3570277	0.0605903	0.0741257	0.0653475	0.0701674	0.0479843	0.0540421	0.0563367	0.0339389	0.0107533	0.0723998	0.0239370	0.0364403	-255125.004
515	0.3411625	0.0612511	0.0768456	0.0671383	0.0720903	0.0517053	0.0613789	0.0569848	0.0339389	0.0107533	0.0323360	0.0132645	0.0534567	-255121.824
520	0.3018405	0.0569317	0.0700405	0.0716616	0.0833521	0.0682681	0.0638167	0.0624462	0.0191468	0.0364965	0.0146404	0.0178684	0.0572896	-255121.857
525	0.3018405	0.0540186	0.0663785	0.0812980	0.0831365	0.0768538	0.0630362	0.0687520	0.0456597	0.0204662	0.0325229	0.0124703	0.0125889	-255126.758
530	0.3551245	0.0592777	0.0708999	0.0592299	0.0620380	0.0652030	0.0570366	0.0584363	0.0456597	0.0518329	0.0109580	0.0051979	0.0125889	-255125.450
535	0.3375733	0.0545743	0.0690356	0.0741929	0.0795539	0.0592154	0.0619523	0.0606378	0.0436866	0.0220128	0.0471293	0.0011122	0.0129677	-255115.273
540	0.3175043	0.0513948	0.0726267	0.0637834	0.0845824	0.0569608	0.0658682	0.0644707	0.0264647	0.0033332	0.0198429	0.0030953	0.0129677	-255118.089
545	0.3175043	0.0554058	0.0714399	0.0748478	0.0845824	0.0569608	0.0638513	0.0616298	0.0662410	0.0159723	0.0085138	0.0226171	0.0052892	-255121.257
550	0.3175043	0.0512314	0.0699145	0.0765350	0.0845824	0.0640205	0.0761464	0.0674739	0.0192390	0.0249229	0.0085138	0.0525835	0.0052892	-255122.032
555	0.3196185	0.0529471	0.0689017	0.0719923	0.0845824	0.0640205	0.0649682	0.0674739	0.0702688	0.0098939	0.0267321	0.0100093	0.0052892	-255122.753
560	0.3507903	0.0606919	0.0734157	0.0654995	0.0756658	0.0572715	0.0581193	0.0563880	0.0310303	0.0275685	0.0118784	0.0117286	0.0052892	-255124.161
565	0.3499082	0.0655164	0.0765708	0.0656646	0.0746436	0.0574159	0.0583804	0.0565301	0.0147751	0.0154280	0.0009765	0.0117286	0.0303846	-255120.766
570	0.3220329	0.0581812	0.0679980	0.0739433	0.0722397	0.0646547	0.0721008	0.0636572	0.0147751	0.0154280	0.0053061	0.0617798	0.0051082	-255122.102
575	0.3809339	0.0718538	0.0786390	0.0609483	0.0696169	0.0532921	0.0527756	0.0524699	0.0434743	0.0294986	0.0061460	0.0249525	0.0012336	-255123.607
580	0.3541144	0.0671254	0.0768141	0.0671104	0.0716994	0.0570461	0.0564583	0.0561660	0.0175138	0.0235109	0.0050272	0.0457137	0.0058395	-255121.483
585	0.3678134	0.0726868	0.0755738	0.0654155	0.0620505	0.0556053	0.0546734	0.0477106	0.0535341	0.0666386	0.0012723	0.0457137	0.0102614	-255121.210
590	0.3245456	0.0633927	0.0633142	0.0756734	0.0754727	0.0643249	0.0599785	0.0698187	0.0120621	0.0801083	0.0023064	0.0183439	0.0477649	-255127.987
595	0.3247227	0.0640692	0.0700208	0.0675898	0.0744520	0.0642898	0.0694535	0.0686576	0.0098848	0.0730716	0.0008247	0.0183439	0.0477649	-255125.203
600	0.2859505	0.0532314	0.0604198	0.0767543	0.0923581	0.0730069	0.0664731	0.0680210	0.0134947	0.0217715	0.0106152	0.0515615	0.0477649	-255123.169
605	0.3461773	0.0734322	0.0774638	0.0634009	0.0684448	0.0603054	0.0557980	0.0561869	0.0106976	0.0404531	0.0135186	0.0403594	0.0636862	-255123.021
610	0.3104139	0.0656274	0.0675548	0.0697872	0.0655075	0.0663799	0.0864013	0.0533534	0.0106493	0.1764324	0.0594590	0.1151747	0.1189100	-255118.665
615	0.2597761	0.0543033	0.0580757	0.0833907	0.0865809	0.0742742	0.0795124	0.0742196	0.0110336	0.1583013	0.0867678	0.0333097	0.0100763	-255123.201
620	0.3275398	0.0693498	0.0722529	0.0670280	0.0622751	0.0763082	0.0703124	0.0587634	0.0110336	0.0415688	0.0867678	0.0674930	0.0222329	-255125.233
625	0.2648512	0.0592880	0.0596165	0.0812353	0.0947585	0.0976783	0.0809134	0.0712190	0.0110336	0.0581715	0.2675284	0.1273171	0.0470472	-255118.594
630	0.3221995	0.0718385	0.0716493	0.0675927	0.0807772	0.0793910	0.0632943	0.0586990	0.1641193	0.0335788	0.2941909	0.2880546	0.0077161	-255116.634
635	0.2476691	0.0496690	0.0550756	0.0776579	0.1118198	0.0833258	0.0882305	0.0719761	0.0102178	0.0628050	0.0896788	0.0601951	0.0280502	-255123.266
640	0.2667959	0.0518273	0.0613291	0.0844999	0.0842783	0.0760606	0.0821657	0.0594913	0.0777398	0.0193574	0.0490171	0.0221571	0.0280502	-255123.288
645	0.2706624	0.0546557	0.0601902	0.0820375	0.0930989	0.0712808	0.0674369	0.0713566	0.0230886	0.0363622	0.0079760	0.0223795	0.0231076	-255120.819
650	0.3519907	0.0612836	0.0692516	0.0765487	0.0825261	0.0505600	0.0553332	0.0568762	0.0363474	0.1020015	0.0057465	0.0221474	0.0066373	-255117.856
655	0.4172176	0.0715270	0.0783600	0.0578836	0.0676461	0.0461063	0.0555700	0.0484626	0.0424171	0.0190538	0.0095142	0.0221474	0.0066373	-255127.446
660	0.4016730	0.0680045	0.0774650	0.0557015	0.0811877	0.0478906	0.0500364	0.0544013	0.0220934	0.0401806	0.0224440	0.0124411	0.0032451	-255116.578
665	0.3551973	0.0597808	0.0700364	0.0642791	0.0676599	0.0552653	0.0614490	0.0627787	0.0220934	0.0274034	0.0211588	0.0069504	0.0032451	-255120.489
670	0.3148478	0.0514006	0.0611751	0.0853483	0.0908170	0.0676277	0.0687861	0.0647751	0.0656340	0.0191451	0.0211588	0.0072426	0.0032451	-255118.936
675	0.3203719	0.0497337	0.0622485	0.0813235	0.1035983	0.0664616	0.0676000	0.0636581	0.0656340	0.0905611	0.0114910	0.0081141	0.0011599	-255116.527
680	0.4167966	0.0615148	0.0792930	0.0638425	0.0789302	0.0518481	0.0543801	0.0499744	0.1954015	0.0905611	0.0085712	0.0054398	0.0011599	-255123.412
685	0.4134244	0.0602139	0.0769596	0.0556972	0.0656795	0.0583223	0.0555549	0.0510541	0.0706393	0.1347763	0.0869374	0.0084417	0.0021257	-255121.658
690	0.4071741	0.0611469	0.0755998	0.0556458	0.0599976	0.0548444	0.0510708	0.0532613	0.0706393	0.0926819	0.0303476	0.0165216	0.0049824	-255117.034
695	0.3953557	0.0642979	0.0776205	0.0827831	0.0652960	0.0579421	0.0555174	0.0521363	0.0732298	0.0417632	0.0490116	0.0165216	0.0021796	-255117.698
700	0.4009640	0.0669031	0.0818821	0.0579755	0.0708177	0.0505061	0.0577600	0.0541212	0.0468046	0.0417632	0.0125138	0.0084116	0.0112324	-255121.298
705	0.3604488	0.0627933	0.0796321	0.0742147	0.0651351	0.0532207	0.0559791	0.0542736	0.1195436	0.0274891	0.0125138	0.0032459	0.0304311	-255121.065
710	0.3147441	0.0507302	0.0707874	0.0804756	0.0783716	0.0619310	0.0651408	0.0631562	0.0346035	0.0089706	0.0564262	0.0111608	0.0304311	-255120.849
715	0.3191163	0.0533303	0.0749614	0.0849457	0.0783716	0.0601894	0.0690817	0.0655003	0.0778278	0.0479230	0.0310889	0.0094757	0.0129629	-255117.422
720	0.3283598	0.0545365	0.0801423	0.0849457	0.0879262	0.0543255	0.0624045	0.0610170	0.1927742	0.0456106	0.0512126	0.0094757	0.0211248	-255127.814
725	0.3328030	0.0545365	0.0801423	0.0712452	0.0737450	0.0542426	0.0624045	0.0532349	0.0393380	0.0415880	0.0172075	0.0031835	0.0211248	-255118.248
730	0.3430138	0.0567807	0.0774488	0.0594375	0.0736121	0.0542426	0.0678449	0.0587071	0.1001778	0.0130420	0.0710796	0.0143193	0.0507334	-255120.413
735	0.3644701	0.0588467	0.0780679	0.0588704	0.0710278	0.0593703	0.0541206	0.0478842	0.0751357	0.0130420	0.0149819	0.0072588	0.0141753	-255121.101
740	0.2875813	0.0492078	0.0642360	0.0811883	0.0900180	0.0752438	0.0758429	0.0696478	0.0317114	0.0130420	0.0149819	0.0278227	0.0110579	-255122.863
745	0.3372226	0.0550944	0.0748369	0.0744781	0.0767668	0.0641674	0.0596735	0.0593952	0.0317114	0.0130420	0.0174386	0.0105177	0.0110579	-255121.107
750	0.3040644	0.0508011	0.0626990	0.0798386	0.0896495	0.0608236	0.0603487	0.0632924	0.0553510	0.0101808	0.0463825	0.0230355	0.0115930	-255126.038
755	0.3375220	0.0548265	0.0772462	0.0621808	0.0852977	0.0566981	0.0612765	0.0557363	0.0274727	0.0088519	0.0322063	0.0036214	0.0085608	-255121.400
760	0.3271974	0.0577483	0.0753039	0.0741318	0.0852977	0.0574133	0.0664554	0.0583048	0.0274727	0.0362851	0.0069054	0.0067653	0.0118606	-255122.722
765	0.2995603	0.0491889	0.0648583	0.0782235	0.0971004	0.0709879	0.0726678	0.0650310	0.0274727	0.0200967	0.0128891	0.0069421	0.0037282	-255121.547
770	0.3632086	0.0553872	0.0794450	0.0634591	0.0874460	0.0560026	0.0562512	0.0556907	0.0592861	0.0499073	0.0035897	0.0043980	0.0024012	-255117.488
775	0.3395121	0.0569111	0.0723997	0.0631330	0.0816811	0.0541300	0.0639128	0.0621794	0.0592861	0.0325529	0.0056542	0.0203394	0.0034385	-255124.734
780	0.3599667	0.0579308	0.0767615	0.0648943	0.0699520	0.0510542	0.0587727	0.0540447	0.0592861	0.0412386	0.0151716	0.0038874	0.0350723	-255120.474
785	0.3199060	0.0541550	0.0715045	0.0701019	0.0777199	0.0621485	0.0694170	0.0583817	0.1079310	0.0412386	0.0030749	0.0083575	0.0090800	-255118.367
790	0.3684332	0.0633615	0.0786024	0.0543448	0.0694430	0.0562051	0.0693456	0.0504396	0.0602489	0.0065689	0.0009980	0.0453463	0.0801083	-255119.564
795	0.3456466	0.0599808	0.0757891	0.0567850	0.0743419	0.0599104	0.0616888	0.0600846	0.0602489	0.0451202	0.0015427	0.0156131	0.0059214	-255120.908
