Gen	t_n5	t_n6	t_n7	mu1	mu2	mu3	mu4	mu5	sigma2_1	sigma2_2	sigma2_3	sigma2_4	sigma2_5	lnL
1	0.2897186	0.0489086	0.0669427	0.0705086	0.0868233	0.0645279	0.0682852	0.0709004	0.1458616	0.0242709	0.0347356	0.0123532	0.0062844	-255123.188
5	0.2982406	0.0509827	0.0652334	0.0743485	0.0868240	0.0591339	0.0742391	0.0709010	0.0731321	0.0091425	0.0179465	0.0175040	0.0015339	-255121.744
10	0.2971537	0.0516749	0.0644534	0.0831590	0.0918936	0.0616768	0.0695688	0.0732930	0.0252736	0.0304835	0.0179465	0.0046012	0.0036670	-255130.615
15	0.3335597	0.0571195	0.0670479	0.0733472	0.0803929	0.0561852	0.0679268	0.0646452	0.0252736	0.0158118	0.0031638	0.0082107	0.0036670	-255121.978
20	0.2802613	0.0493965	0.0591893	0.0959510	0.0910668	0.0673152	0.0670922	0.0732283	0.0328263	0.0158118	0.0098916	0.0267663	0.0025168	-255124.870
25	0.3583449	0.0671058	0.0756800	0.0668253	0.0712233	0.0526472	0.0539037	0.0572718	0.0328263	0.0226716	0.0098916	0.0090076	0.0081223	-255125.072
30	0.3784339	0.0722963	0.0769568	0.0667885	0.0766098	0.0526182	0.0525139	0.0572403	0.0328263	0.0597363	0.0098916	0.0090076	0.0267822	-255118.194
35	0.3405468	0.0646372	0.0716780	0.0632421	0.0766756	0.0575078	0.0631899	0.0563112	0.0358404	0.0597363	0.0403354	0.0237321	0.0267822	-255117.298
40	0.3289050	0.0568026	0.0720172	0.0646286	0.0926868	0.0570479	0.0605716	0.0759515	0.0116128	0.0341839	0.0183164	0.0042332	0.0267822	-255116.592
45	0.3244473	0.0562163	0.0720172	0.0646286	0.0784144	0.0656289	0.0605716	0.0658161	0.0270673	0.0128563	0.0043573	0.0093719	0.0059477	-255117.414
50	0.2790587	0.0486087	0.0619424	0.0874631	0.0911685	0.0704721	0.0757102	0.0727770	0.0270673	0.0100444	0.0069239	0.0278845	0.0116188	-255118.851
55	0.3549145	0.0606597	0.0762020	0.0710962	0.0722140	0.0502555	0.0622793	0.0626775	0.0270673	0.0416588	0.0127158	0.0278845	0.0079014	-255121.144
60	0.3362172	0.0618834	0.0657492	0.0762221	0.0726293	0.0501004	0.0626414	0.0622029	0.0181113	0.0424281	0.0544692	0.0278845	0.0086497	-255116.293
65	0.3428469	0.0601840	0.0745103	0.0812638	0.0725190	0.0541029	0.0567332	0.0605635	0.3506251	0.1053558	0.1444987	0.0751844	0.0184693	-255128.403
70	0.3083278	0.0497788	0.0684995	0.0852708	0.0786916	0.0705065	0.0696407	0.0606435	0.0391846	0.0083718	0.0375654	0.0182184	0.0387151	-255118.861
75	0.2967856	0.0498894	0.0625618	0.0909339	0.0992320	0.0724941	0.0727932	0.0724941	0.0391846	0.0240881	0.0857483	0.0182184	0.0149857	-255121.137
80	0.3463302	0.0597085	0.0725855	0.0676484	0.0754532	0.0576072	0.0625161	0.0696526	0.0391846	0.0185206	0.0233846	0.0113559	0.0358328	-255120.696
85	0.3287607	0.0540120	0.0692696	0.0857026	0.0710526	0.0545862	0.0625161	0.0660678	0.0552459	0.1047117	0.0762826	0.0042241	0.0023550	-255125.795
90	0.3535765	0.0553854	0.0788600	0.0715166	0.0787474	0.0620165	0.0597123	0.0614308	0.0552459	0.0324333	0.0133028	0.0012273	0.0010008	-255123.202
95	0.3018883	0.0486221	0.0619102	0.0785113	0.0907852	0.0609323	0.0688403	0.0708215	0.0374074	0.0334218	0.0459736	0.0014970	0.0010008	-255120.797
100	0.3477063	0.0564075	0.0758492	0.0691150	0.0804062	0.0467811	0.0606015	0.0623456	0.0178691	0.0191815	0.0205348	0.0014970	0.0009576	-255119.813
105	0.3090760	0.0519286	0.0646016	0.0860418	0.0904559	0.0631257	0.0681758	0.0709404	0.0935573	0.0080259	0.0138585	0.0031537	0.0084257	-255121.381
110	0.3268307	0.0624479	0.0683126	0.0775672	0.0797688	0.0640017	0.0644723	0.0650883	0.0477526	0.0116978	0.0148561	0.0155233	0.0084257	-255129.133
115	0.3439098	0.0621564	0.0718824	0.0636724	0.0758074	0.0608233	0.0587279	0.0618560	0.0042862	0.0050150	0.0049586	0.0155233	0.0133151	-255127.240
120	0.3422789	0.0611145	0.0708666	0.0620847	0.0739172	0.0593067	0.0623799	0.0603136	0.0208030	0.0044632	0.0117529	0.0155233	0.0085973	-255124.010
125	0.3756705	0.0684064	0.0766647	0.0643214	0.0660378	0.0551965	0.0547726	0.0538843	0.0107512	0.0152930	0.0117529	0.0048879	0.0308781	-255125.617
130	0.3019860	0.0550917	0.0646739	0.0800158	0.0821510	0.0686644	0.0671341	0.0670321	0.0199578	0.0152930	0.0042490	0.0180963	0.0074801	-255117.830
135	0.3609817	0.0661547	0.0776611	0.0653167	0.0679936	0.0544201	0.0581224	0.0502608	0.0199578	0.0176134	0.0085869	0.0246244	0.0217241	-255119.174
140	0.3220636	0.0593588	0.0645754	0.0769531	0.0931626	0.0641152	0.0667840	0.0681254	0.0199578	0.0493515	0.0171217	0.0108394	0.0217241	-255119.126
145	0.3690158	0.0635175	0.0714907	0.0663497	0.0798037	0.0508447	0.0583091	0.0501977	0.0384352	0.0493515	0.0322228	0.0071311	0.0178139	-255119.498
150	0.3280097	0.0523487	0.0670058	0.0747447	0.0770623	0.0703281	0.0676074	0.0588527	0.0384352	0.0279200	0.0170771	0.0066157	0.0085753	-255121.220
155	0.3615586	0.0581369	0.0773699	0.0701531	0.0752849	0.0539277	0.0598259	0.0520788	0.0580305	0.0663278	0.0032049	0.0152315	0.0113976	-255119.634
160	0.3400219	0.0566271	0.0776617	0.0653081	0.0874987	0.0568727	0.0572703	0.0545792	0.1221978	0.0216917	0.0109114	0.0150083	0.0093147	-255122.278
165	0.3534467	0.0554752	0.0776617	0.0837836	0.0781815	0.0527610	0.0645857	0.0545792	0.0388740	0.0097137	0.0200173	0.0055268	0.0075397	-255125.586
170	0.3175519	0.0497501	0.0754668	0.0645973	0.0767391	0.0605758	0.0690540	0.0520441	0.0755498	0.0261541	0.0501144	0.0011129	0.0854658	-255123.994
175	0.2863355	0.0484318	0.0676787	0.1022244	0.1004903	0.0623436	0.0719037	0.0670311	0.0536120	0.0999146	0.0252545	0.0050349	0.0317718	-255119.401
180	0.3467637	0.0596622	0.0814903	0.0678782	0.0851997	0.0563263	0.0594858	0.0637598	0.0337659	0.0369066	0.0122313	0.0030978	0.0526304	-255121.491
185	0.2930483	0.0482215	0.0640619	0.0818682	0.0923120	0.0693714	0.0717460	0.0672566	0.0337659	0.0186218	0.0024789	0.0003457	0.0193365	-255122.295
190	0.2892858	0.0513978	0.0653934	0.0748882	0.0859233	0.0700675	0.0724659	0.0679314	0.0337659	0.0075568	0.0008897	0.0009590	0.0065038	-255120.966
195	0.3143515	0.0585617	0.0700497	0.0699104	0.0802119	0.0654100	0.0676491	0.0634160	0.0071975	0.0176708	0.0005706	0.0024424	0.0219029	-255126.621
200	0.3229632	0.0577977	0.0771051	0.0675382	0.0791545	0.0631906	0.0653537	0.0612642	0.0205082	0.0167255	0.0006100	0.0083288	0.0115070	-255123.256
205	0.3229632	0.0548777	0.0795670	0.0675382	0.0791545	0.0631906	0.0699438	0.0612642	0.0205082	0.0016151	0.0003774	0.0266069	0.0115070	-255134.697
